;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Ostiano;San Giovanni in Croce;Cremona, Sesto 39
Agnadello, Marconi, 6;0.25;39.23;16.02;54.9;23.12;16.22;11.13;44.75;21.73;81.17;34.17;27.5;47.45;65.92;20.13;20.22;50.72;50.72;11.22;27.78;54.47;58.98;38.08;76.1;66.0;22.88;21.92;77.43;11.9;24.45;24.58;66.57;39.33;11.62;7.78;51.7;60.92;70.07;18.1;40.5;51.17;95.27;20.43;19.27;82.58;7.45;25.73;33.18;71.58;71.45;19.13;40.67;70.73;30.0;36.05;58.55;12.3;12.77;31.63;12.22;8.23;57.78;52.13;52.45;12.55;66.15;71.7;46.28
Annicco, Giuseppe Garibaldi, 6;38.47;0.0;31.45;24.77;31.23;27.48;36.2;12.12;30.73;51.43;24.23;13.78;16.42;35.97;25.75;25.12;20.45;20.45;35.07;18.43;24.33;29.08;7.08;46.1;35.82;21.23;20.03;47.55;32.22;18.3;26.72;36.47;0.03;31.02;35.5;21.67;30.83;39.97;28.72;16.02;37.07;65.58;27.87;22.1;52.48;41.2;21.32;12.17;41.62;41.47;31.37;10.55;40.73;20.12;7.57;28.57;36.98;33.32;15.13;31.55;40.75;27.72;21.95;22.37;34.67;36.02;41.7;15.15
Bagnolo Cremasco, Roma, 3;14.95;31.55;0.0;47.2;21.42;7.67;19.25;37.77;20.92;73.45;28.2;19.8;39.75;58.22;12.77;12.83;43.02;43.02;11.58;20.08;46.77;51.28;30.38;68.4;58.28;15.18;14.22;69.73;7.48;14.6;16.88;58.88;31.65;7.1;11.77;44.02;53.22;62.38;16.0;30.67;47.27;87.58;18.05;11.58;74.87;17.72;18.05;25.52;63.87;63.73;18.77;32.98;63.03;26.02;28.37;50.85;13.48;11.88;23.97;5.95;22.17;50.1;44.45;44.75;15.33;58.48;64.0;39.23
Bonemerse, Roma, 25;55.02;23.9;48.08;0.0;47.77;44.15;52.63;20.82;47.2;30.52;36.78;30.28;15.9;14.97;42.18;41.75;10.83;10.83;51.72;36.25;11.87;18.63;24.25;25.12;22.53;38.78;36.55;26.68;48.62;34.88;43.3;23.22;23.98;47.43;52.03;11.22;17.57;26.72;45.28;29.55;26.95;44.67;44.32;38.77;31.58;57.7;39.0;28.65;20.68;20.43;47.93;19.63;19.87;39.52;29.2;7.52;53.48;49.87;33.22;47.97;57.15;15.25;12.0;4.47;50.22;22.8;20.87;11.25
Camisano, Trieste, 57;22.38;31.12;22.2;48.38;0.0;18.5;15.18;30.7;5.83;74.6;37.03;21.22;38.65;59.37;15.83;15.68;44.17;44.17;22.55;18.08;47.95;48.87;31.62;69.5;59.4;13.63;15.42;70.88;22.07;21.18;10.88;56.47;31.27;17.07;19.47;45.18;54.35;63.57;9.72;36.08;37.07;88.7;8.32;16.02;76.05;23.12;14.12;26.7;65.03;64.9;7.5;34.17;64.2;15.93;25.98;52.05;25.42;14.08;21.95;22.15;17.67;51.23;45.62;45.95;14.3;57.53;65.13;38.93
Capergnanica, XI febbraio, 7;18.02;29.73;9.18;45.37;19.52;0.0;19.57;35.88;18.97;71.53;27.0;17.35;37.85;56.32;11.35;10.12;41.1;41.1;14.63;18.08;44.88;49.52;28.53;66.43;56.35;13.25;12.28;67.82;11.8;11.9;14.97;57.03;29.77;10.6;15.07;42.13;51.3;60.52;15.57;27.85;45.35;85.63;16.12;6.87;72.98;20.77;16.12;23.65;61.98;61.85;18.98;31.12;61.15;24.08;26.43;48.98;16.5;15.33;21.97;11.15;23.78;48.13;42.58;42.9;15.22;56.6;62.1;35.37
Capralba, Piave, 2;10.62;35.93;19.38;52.82;15.03;18.68;0.12;35.52;12.62;78.82;39.02;25.53;43.47;63.68;13.35;15.47;48.43;48.43;18.03;22.23;52.18;53.63;35.95;73.83;63.65;17.83;19.75;75.28;16.95;23.18;14.8;61.23;36.03;11.93;14.35;49.57;58.58;67.8;8.77;39.17;41.9;92.95;11.1;18.05;80.43;16.68;18.43;31.05;69.4;69.25;9.8;38.52;68.57;20.75;30.72;56.4;20.3;8.95;26.12;16.28;7.03;55.48;49.93;50.33;7.82;62.3;69.53;43.63
Casalbuttano ed Uniti, Jacini, 23;45.43;11.67;39.7;21.72;32.0;35.97;36.87;0.37;31.43;48.07;35.32;20.73;9.93;32.72;33.78;33.35;17.77;17.75;43.32;21.48;21.27;22.0;18.15;42.9;32.78;24.25;28.15;44.27;40.2;27.52;28.0;29.57;11.75;38.88;41.27;18.52;27.37;36.88;31.37;26.8;26.63;62.08;29.95;31.4;49.4;48.85;22.03;21.6;38.38;38.25;32.1;19.12;37.57;20.72;11.73;25.35;44.97;35.72;18.17;39.6;41.38;24.6;19.18;19.27;34.57;30.55;38.52;13.32
Casale Cremasco-Vidolasco, Roma, 56;21.8;31.0;21.62;47.88;5.97;17.9;13.18;30.58;0.0;73.87;36.33;20.6;38.55;58.75;15.15;15.1;43.5;43.5;21.27;17.3;47.23;48.67;31.02;68.87;58.7;12.9;14.82;70.28;20.2;20.52;10.27;56.32;31.08;15.18;17.57;44.6;53.62;62.87;7.67;35.43;36.92;87.93;6.78;15.37;75.43;22.68;13.53;26.17;64.45;64.28;4.2;33.58;63.65;15.83;25.8;51.47;23.52;12.07;21.22;19.52;17.0;50.55;45.0;45.4;11.88;57.47;64.6;38.42
Casalmaggiore, Guglielmo Marconi, 8;82.82;51.88;75.78;31.95;75.52;72.1;80.37;48.9;74.93;0.0;62.53;58.2;43.98;17.4;70.08;69.42;39.18;39.12;79.38;64.33;34.7;36.62;52.23;11.72;28.8;66.82;64.32;9.37;76.42;62.68;70.97;34.32;51.88;75.25;79.83;38.77;32.33;20.47;73.0;58.02;54.7;16.5;72.0;66.63;11.65;85.42;66.98;56.52;13.2;19.5;75.57;47.62;13.73;67.38;57.2;25.73;81.13;77.43;61.15;75.72;84.75;32.93;42.38;32.5;76.67;33.92;13.15;37.92
Casalpusterlengo, Pusterla 7;34.22;25.38;29.13;37.52;36.77;25.72;38.85;36.62;36.13;59.8;0.23;20.85;30.05;48.38;29.57;27.8;31.22;31.22;23.73;27.83;36.87;41.68;20.48;58.52;46.12;29.45;26.8;59.93;27.7;17.43;32.27;49.0;25.45;31.12;31.28;34.25;43.27;50.27;33.47;13.05;47.62;65.25;33.27;21.3;65.08;36.88;30.63;22.32;54.07;53.93;37.02;20.5;53.25;38.58;27.22;41.08;31.5;33.77;30.38;31.23;41.75;37.82;32.65;35.02;36.2;48.58;54.17;26.62
Castelleone, Roma, 67;27.48;14.95;20.6;30.65;20.3;16.18;24.98;19.78;19.72;56.65;20.98;0.43;23.17;41.52;14.7;14.27;26.27;26.27;24.22;7.75;30.0;34.82;13.77;51.65;41.47;10.28;9.07;53.1;21.12;6.92;15.25;42.13;15.03;19.88;24.58;27.38;36.4;45.62;17.77;18.22;39.4;70.77;16.83;10.8;58.22;30.23;10.48;8.87;47.22;47.05;20.5;16.33;46.37;18.47;10.33;34.2;25.87;22.35;12.2;20.5;29.6;33.28;28.35;28.13;23.03;41.7;47.33;21.5
Castelverde, Ubaldo Ferrari, 15;48.47;14.77;41.53;15.02;38.35;37.77;43.02;8.58;37.72;41.25;30.82;23.88;0.78;26.02;35.78;35.32;11.05;11.03;45.25;28.02;14.58;19.18;17.98;36.15;26.07;30.83;30.1;37.53;42.2;28.47;34.13;26.75;14.85;40.97;45.68;11.83;21.02;30.23;37.67;24.03;30.87;55.38;36.28;32.38;42.68;51.25;28.28;22.33;31.68;31.57;38.55;13.22;30.85;27.13;18.22;18.7;46.93;42.17;24.68;41.62;47.62;17.9;12.52;12.6;42.58;26.3;31.82;8.3
Cingia de' Botti, Giuseppina, 79;66.23;35.33;59.22;15.55;58.98;55.6;63.68;32.38;58.35;16.28;46.02;41.67;27.45;0.0;53.52;52.8;22.65;22.65;62.92;47.8;18.23;20.15;35.7;11.63;20.53;50.33;47.82;12.5;59.92;46.18;54.47;20.75;35.38;58.75;63.33;22.3;15.87;14.05;56.48;41.52;38.23;30.4;55.5;50.17;17.6;68.92;50.5;40.07;6.57;6.42;59.05;31.13;5.72;50.93;40.72;9.28;64.63;60.97;44.68;59.25;68.28;16.48;25.75;16.05;61.42;20.32;6.72;22.53
Crema, Civerchi, 9;20.83;26.18;13.55;41.68;14.85;11.2;14.25;31.9;14.23;67.57;29.1;14.38;34.32;52.58;0.27;4.32;37.32;37.32;17.57;13.33;41.12;45.93;24.95;62.72;52.4;8.52;8.72;64.07;14.52;13.43;9.67;53.12;26.25;13.27;17.93;38.5;47.28;56.48;7.27;29.35;40.15;81.8;11.37;8.27;69.22;23.55;11.42;20.07;58.22;58.07;11.52;27.4;57.42;19.37;22.72;45.27;19.18;12.42;17.03;13.92;18.72;44.33;38.8;39.25;11.27;52.65;58.3;33.48
Crema, Dante Alighieri, 49;19.43;26.42;12.15;41.9;16.2;9.4;15.4;32.37;15.57;67.77;27.25;14.6;34.55;52.78;4.95;0.0;37.53;37.53;16.18;14.73;41.35;46.13;25.17;62.93;52.62;9.92;8.93;64.27;13.13;11.58;11.22;53.33;26.48;11.88;16.55;38.73;47.5;56.72;8.93;27.73;41.4;82.05;12.67;6.42;69.42;22.17;12.68;20.28;58.42;58.27;13.25;27.63;57.63;20.67;22.95;45.5;17.82;13.0;18.42;12.53;19.9;44.58;39.02;39.47;13.07;52.92;58.55;32.92
Cremona, Ugolani Dati, 4;50.25;19.32;43.23;11.52;42.98;39.53;47.77;16.73;42.33;37.55;30.68;25.6;11.82;22.38;37.5;36.85;0.17;0.17;46.92;31.7;12.0;17.58;19.65;32.52;23.47;34.27;31.82;33.97;43.93;30.17;38.48;24.13;19.37;42.77;47.37;10.15;18.4;27.62;40.52;23.78;27.88;51.65;39.53;34.12;39.08;52.88;34.38;23.97;28.02;27.87;43.07;14.32;27.18;35.25;24.63;15.0;48.6;44.93;28.6;43.22;52.23;15.23;7.5;8.93;45.92;23.65;28.13;6.62
Cremona, Ugolani Dati, 4;50.13;19.22;43.12;11.43;42.85;39.4;47.7;16.65;42.25;37.42;30.57;25.53;11.73;22.3;37.38;36.72;0.17;0.17;46.78;31.67;11.93;17.52;19.42;32.4;23.4;34.22;31.72;33.83;43.82;30.03;38.35;24.08;19.28;42.65;47.23;10.08;18.35;27.57;40.4;23.68;27.85;51.43;39.4;34.02;38.95;52.8;34.4;23.97;27.97;27.8;42.93;14.3;27.17;35.27;24.63;14.98;48.52;44.83;28.58;43.12;52.15;15.28;7.52;8.92;45.92;23.68;28.07;6.62
Dovera, Oldrini 2;10.6;34.48;11.48;49.93;22.25;11.6;17.35;40.78;19.87;76.13;23.27;22.85;42.6;60.88;15.55;15.58;45.58;45.58;0.18;23.05;49.4;54.2;33.35;70.98;60.72;18.2;17.2;72.47;7.32;19.8;19.93;61.52;34.57;7.53;7.73;46.83;55.63;64.88;15.95;32.37;48.63;83.75;18.28;14.63;77.57;13.32;20.98;28.58;66.58;66.33;17.05;35.92;65.75;27.83;31.32;53.57;9.32;10.2;26.9;7.62;18.22;52.63;47.02;47.57;13.15;61.05;66.65;42.92
Fiesco, Giuseppe Parini, 10;28.22;20.58;21.23;36.72;17.82;17.48;22.63;23.07;17.22;62.83;27.55;7.37;29.37;47.58;14.8;14.92;32.35;32.35;24.35;0.0;36.15;41.12;20.12;57.77;47.38;5.12;10.92;59.15;21.95;13.35;10.08;48.97;20.68;20.78;25.35;33.55;42.32;51.52;17.22;24.65;34.12;76.95;14.37;15.05;64.22;30.97;5.32;15.27;53.28;53.03;18.0;22.62;52.4;13.28;14.42;40.28;26.67;21.58;5.97;21.27;27.15;39.35;33.67;34.23;21.68;47.67;53.33;27.38
Gadesco-Pieve Delmona, Giovanni Lonati 9;53.7;23.08;46.72;11.0;46.42;43.08;51.05;20.12;45.93;33.48;33.88;29.25;15.22;18.5;41.05;40.4;11.67;11.67;50.35;35.42;0.87;11.47;23.47;28.6;15.37;37.98;35.42;29.98;47.5;33.77;42.03;16.02;23.17;46.32;50.85;4.72;10.28;19.47;44.13;29.07;26.13;47.62;43.08;37.73;35.2;56.43;38.15;27.82;24.12;23.97;46.62;18.85;23.32;38.75;28.37;13.68;52.25;48.58;32.43;46.83;55.63;7.18;15.83;8.73;49.72;15.63;24.32;10.77
Grontardo, Roma, 16;59.6;28.9;52.57;20.13;50.07;48.9;54.55;22.43;49.52;34.65;42.12;35.1;20.85;19.68;46.88;46.38;18.33;18.3;56.2;39.8;11.63;0.28;29.22;29.82;16.62;42.6;41.22;31.13;53.3;39.57;46.05;11.33;28.95;52.17;56.65;8.88;7.43;20.72;49.43;34.85;28.05;48.82;48.07;43.42;36.4;62.28;40.13;33.6;25.28;25.13;50.17;24.62;24.48;39.02;30.08;15.45;58.08;53.77;36.5;52.67;59.2;7.33;21.82;17.88;52.62;10.92;25.52;15.45
Grumello Cremonese ed Uniti, Roma, 2;37.98;6.5;30.92;22.77;30.68;27.3;35.43;17.58;30.08;48.88;20.27;13.42;15.43;33.65;25.22;24.55;18.4;18.4;34.63;19.6;22.18;26.98;0.88;43.8;33.47;22.22;19.6;45.18;31.63;17.95;26.2;34.18;6.58;30.47;35.03;19.57;28.33;37.55;28.22;13.05;37.98;63.02;27.23;21.88;50.28;40.62;22.28;11.97;39.3;39.05;30.77;5.65;38.47;24.37;11.77;26.33;36.33;32.68;16.52;30.97;39.88;25.4;19.73;20.27;33.52;33.72;39.4;15.55
Gussola, Comaschi, 1;76.73;45.72;69.73;25.67;69.55;65.93;73.97;42.52;69.0;10.97;56.43;52.15;37.65;11.9;64.08;63.57;32.85;32.85;73.38;58.2;28.42;30.18;46.08;0.77;26.0;60.78;58.38;5.78;70.52;56.7;65.03;31.08;45.78;69.35;73.87;32.52;25.83;17.6;67.33;51.42;48.38;25.12;66.12;60.53;16.4;79.52;60.97;50.38;10.17;9.78;69.55;41.35;9.38;61.1;51.02;19.53;75.25;71.63;54.98;69.85;78.67;26.53;36.02;26.35;71.48;30.67;10.28;32.52
Isola Dovarese, Giacomo Matteotti, 1;65.57;34.55;58.55;22.1;58.42;54.73;62.88;31.43;57.87;26.68;45.25;41.0;26.55;20.08;52.9;52.4;23.03;23.03;62.23;47.07;14.25;16.02;34.92;26.4;0.0;49.67;47.25;23.22;59.37;45.55;53.87;11.72;34.67;58.22;62.75;18.37;11.68;10.47;56.15;40.33;36.87;41.03;54.97;49.4;26.18;68.4;49.85;39.3;15.73;24.92;58.45;30.25;16.3;49.98;39.92;15.98;64.13;60.48;43.88;58.73;67.53;12.37;28.42;20.22;61.28;11.3;15.32;22.47
Izano, Gerardo da Izano, 4/C;23.07;22.47;16.03;38.75;13.08;12.37;17.83;25.15;12.52;64.9;29.4;9.6;31.43;49.73;9.7;9.65;34.43;34.43;19.73;4.9;38.28;43.12;22.22;59.82;49.63;0.22;5.8;61.35;16.77;15.03;6.1;50.43;22.55;15.6;20.17;35.68;44.57;53.8;12.55;26.77;33.57;78.88;9.7;9.9;66.42;25.75;4.62;17.43;55.5;55.23;13.25;24.85;54.72;12.55;16.3;42.48;21.55;16.92;8.88;16.12;22.43;41.65;36.02;36.45;17.2;50.07;55.65;29.98
Madignano, Portici, 4;21.18;20.33;14.2;35.7;13.92;10.53;18.63;26.62;13.37;61.85;25.95;8.65;28.37;46.67;8.5;7.83;31.38;31.38;17.87;10.83;35.22;40.03;19.13;56.75;46.62;5.92;0.0;58.32;14.93;11.6;9.48;47.4;20.47;13.77;18.33;32.65;41.52;50.68;11.52;23.67;39.67;75.87;10.53;8.07;63.37;23.92;10.6;14.33;52.45;52.18;14.08;21.75;51.62;18.57;17.1;39.38;19.72;16.02;14.7;14.28;23.15;38.55;32.92;33.35;17.32;46.97;52.55;27.78
Martignana di Po, Libertà, 64;79.12;47.97;72.1;27.85;71.85;68.08;76.5;44.83;71.32;9.68;58.52;54.35;39.88;13.77;66.38;65.87;35.13;35.13;75.73;60.4;30.73;32.68;48.27;5.45;25.32;62.93;60.57;0.72;72.78;58.82;67.28;30.75;48.0;71.62;76.08;34.77;28.25;16.83;69.55;53.63;50.57;23.98;68.38;62.67;14.98;81.93;63.13;52.58;9.65;13.2;71.9;43.5;10.22;63.37;53.07;21.78;77.57;73.82;57.15;72.15;81.17;28.95;38.22;28.45;73.03;30.27;9.55;34.18
Monte Cremasco, Roma, 12;11.88;32.72;8.12;48.03;22.45;9.62;17.08;39.02;19.47;74.27;27.12;20.8;40.7;59.05;13.57;13.65;43.72;43.73;7.68;20.93;47.47;52.32;31.43;69.2;58.85;16.12;15.25;70.7;0.0;17.82;17.88;59.53;32.83;5.17;9.02;44.92;53.72;62.85;15.68;34.05;48.03;88.43;18.0;12.68;75.8;14.6;18.98;26.5;64.8;64.53;16.67;33.98;63.97;26.95;29.48;51.68;10.82;9.97;24.82;3.65;20.13;50.78;45.22;45.6;12.18;59.12;64.92;39.9
Montodine,  XXV Aprile, 10;24.05;18.75;14.58;34.22;20.4;10.35;22.48;25.78;19.87;60.35;17.4;6.45;26.85;45.17;13.12;11.43;29.88;29.9;20.68;13.47;33.72;38.52;17.63;55.3;45.07;14.0;12.4;56.82;17.47;0.13;15.77;45.77;18.92;16.6;21.07;31.17;39.95;49.15;16.93;17.32;45.35;74.57;16.82;4.88;61.98;26.7;16.3;12.78;51.07;50.8;20.38;20.27;50.25;24.27;16.38;37.95;22.5;19.45;18.07;17.08;27.02;37.07;31.45;31.88;20.13;45.4;51.18;26.08
