;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casaletto Vaprio, Maggiore, 7;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertï¿½, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2.1;Ostiano;San Giovanni
Offanengo, Clavelli Martini, 5;23027.0;24133.0;15417.0;50055.0;8.58;12417.0;14663.0;26478.0;7614.0;13.952;83732.0;32704.0;13223.0;35.39;66275.0;6.61;6766.0;31646.0;42358.0;23096.0;8407.0;49914.0;47667.0;28031.0;77542.0;66276.0;3411.0;7818.0;79915.0;19417.0;15793.0;182.0;57467.0;24.16;16482.0;19011.0;47033.0;54327.0;72053.0;552802.0;28368.0;37186.0;96496.0;4152.0;10249.0;85.12;28875.0;4.47;20337.0;72859.0;72237.0;9185.0;32196.0;71754.0;12112.0;18244.0;19.321;26.54;13763.0;11694.0;18.13;18921.0;54979.0;42749.0;47166.0;47166.0;57175.0;73449.0
Ostiano, Mazzini, 1;82.22;41524.0;69356.0;26032.0;64851.0;65313.0;72335.0;32.27;70884.0;70.349;36281.0;67786.0;51.26;29745.0;22911.0;61706.0;62135.0;31883.0;23.76;77035.0;55465.0;16748.0;10.45;41667.0;34807.0;13016.0;59352.0;57677.0;32464.0;73356.0;55259.0;64137.0;74.0;41551.0;72277.0;75429.0;17441.0;6821.0;18793.0;536719.0;46787.0;21989.0;49112.0;66616.0;60466.0;36179.0;107912.0;51921.0;45987.0;24657.0;28873.0;72045.0;33753.0;25173.0;47878.0;38647.0;30.51;80479.0;70843.0;52389.0;72069.0;100708.0;10585.0;27241.0;23338.0;23338.0;504.0;24508.0
Paderno Ponchielli, Municipio, 3;46664.0;24.0;33773.0;25495.0;36747.0;29757.0;36779.0;7907.0;35328.0;34.793;59172.0;26552.0;15704.0;14456.0;41715.0;26.15;26579.0;8572.0;17798.0;41479.0;16772.0;25354.0;29834.0;5837.0;52982.0;41716.0;20285.0;22121.0;55355.0;37.8;19703.0;24402.0;40894.0;0.0;36721.0;39873.0;22473.0;34354.0;47493.0;530.87;15259.0;32859.0;71936.0;31.06;24.91;60.56;49726.0;20792.0;10431.0;48299.0;47677.0;36489.0;9122.0;47194.0;19906.0;6377.0;62.161;44923.0;35287.0;13022.0;36513.0;41037.0;30419.0;18189.0;22606.0;22606.0;40602.0;48889.0
Palazzo Pignano, Marco Polo, 31;11312.0;37867.0;5767.0;57146.0;18.17;9.0;11729.0;43233.0;13034.0;5.194;90823.0;33567.0;21675.0;47669.0;73366.0;11031.0;10637.0;40223.0;49449.0;7605.0;22021.0;57005.0;61485.0;36608.0;86144.0;73367.0;17.56;14909.0;87006.0;3918.0;18735.0;16022.0;72545.0;37894.0;169.0;4.51;54124.0;66005.0;79144.0;555744.0;34131.0;48682.0;103587.0;12996.0;13191.0;92211.0;14374.0;21236.0;28914.0;79.95;79328.0;11622.0;40773.0;78845.0;24.17;29481.0;67.551;11049.0;3.49;25308.0;2631.0;9469.0;62.07;49.84;54257.0;54257.0;72253.0;80.54
Pandino, Castello, 15;4819.0;43257.0;9088.0;62536.0;20481.0;14.39;14.04;45544.0;15345.0;7.505;96213.0;31.62;27065.0;53059.0;78756.0;13308.0;16027.0;45613.0;54839.0;5658.0;27411.0;62395.0;66875.0;41998.0;91534.0;78757.0;22.95;20299.0;92396.0;6591.0;24125.0;18333.0;77935.0;43284.0;4195.0;0.0;59514.0;71395.0;84534.0;563638.0;39521.0;50993.0;108977.0;15307.0;18581.0;97601.0;8472.0;26626.0;34304.0;85.34;84718.0;13933.0;46163.0;84235.0;26481.0;34871.0;15.022;5977.0;5801.0;30698.0;5952.0;9.59;67.46;55.23;59647.0;59647.0;77643.0;85.93
Persico Dosimo, Albert ,7;63922.0;23226.0;51058.0;10485.0;54005.0;47015.0;54037.0;15.24;52586.0;52.051;43975.0;37.18;32962.0;11447.0;26518.0;43408.0;43837.0;13585.0;5917.0;58737.0;37167.0;3158.0;7643.0;23369.0;38298.0;21017.0;41054.0;39379.0;40158.0;55069.0;36961.0;45.85;17443.0;23264.0;53.99;57142.0;162.0;14303.0;26794.0;520977.0;28489.0;35363.0;56739.0;48329.0;42179.0;45363.0;66995.0;41886.0;27.7;33102.0;32.48;53758.0;15466.0;31997.0;36485.0;28796.0;12.854;62192.0;52556.0;34102.0;53782.0;58306.0;9.72;8943.0;7596.0;7596.0;17151.0;33692.0
Pescarolo ed Uniti, Giuseppe Mazzini, 73;75753.0;35057.0;62889.0;19565.0;65836.0;58846.0;65868.0;30143.0;64417.0;63.882;36459.0;61319.0;44793.0;23278.0;19002.0;55239.0;55.62;25416.0;17299.0;70568.0;48998.0;10281.0;4164.0;35.2;30782.0;13501.0;52885.0;51.21;32642.0;66889.0;48792.0;57.67;6.83;35084.0;65.81;68962.0;13434.0;0.06;19278.0;530252.0;40.32;24069.0;49223.0;60149.0;53999.0;37847.0;78815.0;49943.0;39.52;25586.0;24964.0;65578.0;27286.0;24481.0;49057.0;38.23;25.902;74012.0;64376.0;45922.0;65602.0;70126.0;2.93;18806.0;16871.0;16871.0;6538.0;26176.0
Piadena, Platina, 40;88801.0;48105.0;75937.0;32613.0;78884.0;71894.0;78916.0;43191.0;77465.0;76.941;18721.0;74367.0;57841.0;36326.0;12143.0;68287.0;68668.0;38464.0;30347.0;83616.0;62046.0;23329.0;23375.0;48248.0;17247.0;8764.0;65933.0;64258.0;14904.0;79937.0;61.84;70718.0;18665.0;48132.0;78858.0;84124.0;26482.0;19034.0;39.0;490911.0;51875.0;40895.0;31552.0;73197.0;67047.0;19252.0;91863.0;66754.0;52568.0;8631.0;16047.0;78626.0;40334.0;9147.0;64436.0;53664.0;528.513;87.06;77424.0;58.97;78.65;83174.0;19.67;32842.0;29919.0;29919.0;18373.0;8482.0
Pianengo, Roma, 59;568622.0;539332.0;562.77;523499.0;561316.0;548823.0;559311.0;534418.0;559897.0;569.616;475.84;524729.0;542422.0;527553.0;492.86;548588.0;547928.0;529691.0;521574.0;558363.0;547.97;521503.0;528856.0;539475.0;482.24;501501.0;551167.0;548399.0;479695.0;561558.0;538769.0;553.15;537043.0;539359.0;565937.0;563945.0;522779.0;530503.0;493327.0;0.0;533533.0;546559.0;460809.0;555629.0;543976.0;483672.0;582395.0;552678.0;544164.0;486504.0;489213.0;561058.0;531561.0;487.02;555663.0;544891.0;36.602;564534.0;567902.0;550197.0;565473.0;593932.0;526568.0;516873.0;520.61;520.61;536751.0;486601.0
Pizzighettone, Giuseppe Garibaldi, 18;45036.0;14205.0;31007.0;31587.0;36954.0;26991.0;37479.0;21.94;35535.0;34.31;65264.0;11.99;15911.0;22.11;47807.0;26357.0;26096.0;18419.0;20693.0;36012.0;21457.0;31446.0;35926.0;8107.0;60585.0;47808.0;25344.0;22328.0;61447.0;36172.0;16937.0;28788.0;46986.0;14232.0;35093.0;38245.0;28565.0;40446.0;53585.0;532088.0;56.0;58044.0;78028.0;31267.0;22144.0;66652.0;48098.0;26165.0;11116.0;54391.0;53769.0;36696.0;12318.0;53286.0;30182.0;17152.0;41.921;43295.0;34804.0;20303.0;34885.0;41327.0;36511.0;20931.0;28698.0;28698.0;46694.0;54981.0
Manerbio, INSURREZIONE NAZIONALE;55582.0;32742.0;51216.0;36906.0;40452.0;48216.0;47218.0;24209.0;40579.0;45.824;70583.0;77499.0;43261.0;30947.0;46073.0;41929.0;42085.0;43098.0;34981.0;55173.0;38445.0;34.91;22759.0;40317.0;65904.0;34169.0;37966.0;41.61;66766.0;55216.0;49218.0;37673.0;20937.0;32769.0;49037.0;51566.0;35163.0;22927.0;41109.0;546432.0;56509.0;0.0;83347.0;38544.0;46048.0;71971.0;69877.0;33044.0;39992.0;59.71;59088.0;41.74;44968.0;58605.0;26173.0;31149.0;42.315;58636.0;46318.0;37477.0;53929.0;51476.0;24714.0;36488.0;34017.0;34017.0;21584.0;44.83
Viadana, A. Manzoni, 2;113435.0;72739.0;100571.0;48733.0;103518.0;96528.0;103.55;67825.0;102099.0;101.868;13792.0;104.45;82475.0;60.96;30943.0;92921.0;93302.0;63098.0;53.37;138084.0;86.68;53382.0;53428.0;72882.0;20323.0;39584.0;90567.0;88892.0;17778.0;104571.0;86474.0;95352.0;49485.0;72766.0;103492.0;108758.0;56535.0;49087.0;31.41;458415.0;76509.0;72532.0;221.0;97831.0;91681.0;15527.0;162116.0;91388.0;77202.0;24587.0;27296.0;103.26;64968.0;25103.0;89.07;78298.0;56.683;111694.0;102058.0;83604.0;103284.0;107808.0;49723.0;55455.0;50006.0;50006.0;49193.0;24684.0
Ricengo, Guglielmo Marconi;19643.0;32389.0;17.03;51668.0;7648.0;14.03;11279.0;32711.0;4.23;9.885;85345.0;34317.0;16197.0;41623.0;67888.0;8223.0;8379.0;34745.0;43971.0;19234.0;12898.0;51527.0;53.9;31.13;80666.0;67889.0;8686.0;9431.0;81528.0;21.03;17406.0;3758.0;63.7;32416.0;13098.0;15627.0;48646.0;60.56;73666.0;554415.0;29981.0;38.16;98109.0;103.0;11862.0;86733.0;25491.0;10.09;23436.0;74472.0;73.85;5801.0;35295.0;73367.0;13648.0;22735.0;50.513;22697.0;10379.0;16185.0;19743.0;15537.0;56592.0;44227.0;48779.0;48779.0;63408.0;75062.0
Ripalta Cremasca, Roma, 5;22891.0;26219.0;10027.0;45498.0;17339.0;4846.0;15334.0;28292.0;15.92;12.165;79175.0;22454.0;10027.0;36021.0;61718.0;4611.0;3951.0;28575.0;37801.0;17706.0;13325.0;45357.0;49837.0;24.96;74496.0;61719.0;8864.0;6213.0;75358.0;14027.0;5543.0;9173.0;60897.0;26246.0;12948.0;18214.0;42476.0;54357.0;67496.0;542552.0;20939.0;45256.0;91939.0;11652.0;0.03;80563.0;25953.0;12.54;17266.0;68302.0;67.68;17081.0;29125.0;67197.0;20182.0;18415.0;30.452;21.15;12659.0;16612.0;12.74;19182.0;50422.0;38057.0;42609.0;42609.0;60605.0;68892.0
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;101865.0;61169.0;89001.0;37163.0;91948.0;84958.0;91.98;56255.0;90529.0;90.005;10056.0;88324.0;70905.0;49.39;19373.0;81351.0;81732.0;51528.0;41.8;96.68;75.11;41812.0;41858.0;61312.0;14116.0;26857.0;78997.0;77322.0;11571.0;93001.0;74904.0;83782.0;36758.0;61196.0;91922.0;97188.0;44965.0;37517.0;18683.0;481.42;64939.0;58.2;15775.0;86261.0;80111.0;192.0;104927.0;79818.0;65632.0;12106.0;21743.0;91.69;53398.0;12622.0;77.5;66728.0;75.01;100124.0;90488.0;72034.0;91714.0;96238.0;38153.0;43886.0;38436.0;38436.0;36466.0;11712.0
Rivolta d'Adda, Stefano Renzi, 5;6757.0;50716.0;18627.0;69995.0;21.73;21542.0;13.37;55268.0;22295.0;17.229;103365.0;38772.0;34217.0;60211.0;85908.0;23573.0;23179.0;52765.0;61991.0;12.81;34563.0;69547.0;74027.0;49.15;97175.0;85909.0;30102.0;27451.0;99548.0;13743.0;31277.0;28057.0;106.62;50436.0;13919.0;9649.0;66666.0;78547.0;91686.0;581623.0;46673.0;84195.0;163087.0;25031.0;25733.0;104753.0;0.0;33778.0;41456.0;92492.0;91.87;21168.0;53315.0;91387.0;36205.0;42023.0;48.579;8206.0;15525.0;37.85;15184.0;9439.0;74612.0;62247.0;66799.0;66799.0;107267.0;93082.0
Romanengo, Guaiarini, 14;31035.0;20725.0;18171.0;45852.0;12426.0;15171.0;21104.0;22007.0;14465.0;19.71;79529.0;32373.0;10216.0;30919.0;62072.0;8884.0;9.04;28639.0;38155.0;25.85;5.4;45711.0;43196.0;25024.0;74.85;62073.0;4921.0;8565.0;75712.0;22171.0;16173.0;4628.0;52996.0;20752.0;21092.0;26358.0;37321.0;49856.0;67.85;552471.0;24866.0;32715.0;92293.0;8129.0;13003.0;80917.0;34097.0;0.0;17.33;68656.0;68034.0;15626.0;29189.0;67551.0;7641.0;15237.0;35.952;29294.0;20204.0;8687.0;20884.0;25362.0;46451.0;38411.0;42963.0;42963.0;52704.0;69246.0
San Bassano, Mons. Frosi (ex piazza Scuole);40027.0;11658.0;27163.0;30937.0;30.11;23972.0;30142.0;18132.0;28691.0;27.329;64614.0;22559.0;9067.0;21.46;47157.0;19513.0;19942.0;14014.0;23.24;34842.0;13272.0;30796.0;35276.0;10399.0;59935.0;47158.0;17159.0;15484.0;60797.0;31163.0;13918.0;21944.0;46336.0;11685.0;30084.0;35.35;27915.0;39796.0;52935.0;542657.0;9745.0;40211.0;77378.0;24423.0;19125.0;66002.0;43089.0;17.98;0.0;53741.0;53119.0;29852.0;14564.0;52636.0;21285.0;8255.0;18.466;38286.0;28.65;11406.0;29876.0;34.4;35861.0;23496.0;28048.0;28048.0;46044.0;54331.0
San Giovanni in Croce, Feudatari, 25 A;89879.0;49183.0;77015.0;25177.0;79962.0;72972.0;79994.0;44269.0;78543.0;78.019;11.92;76338.0;58919.0;37404.0;7387.0;69365.0;69746.0;39542.0;29814.0;84694.0;63124.0;29826.0;29872.0;49326.0;9.78;15293.0;67011.0;65336.0;8103.0;81015.0;62918.0;71128.0;25194.0;49.21;79936.0;85202.0;32979.0;25531.0;7119.0;484.11;52953.0;48522.0;24684.0;74275.0;68125.0;12064.0;92941.0;67832.0;53646.0;122.0;9757.0;79704.0;41412.0;636.0;65514.0;54742.0;17.566;88138.0;78502.0;60048.0;79728.0;84252.0;26167.0;31899.0;26.45;26.45;24902.0;393.0
Scandolara Ravara, Italia;88979.0;48283.0;76115.0;21801.0;79062.0;72072.0;79094.0;43369.0;77643.0;77.119;14603.0;75438.0;58019.0;36504.0;6812.0;68465.0;68846.0;38642.0;28914.0;83794.0;62224.0;28151.0;28197.0;48426.0;7671.0;18132.0;66111.0;64436.0;10109.0;80115.0;62018.0;70228.0;30396.0;48.31;79036.0;84302.0;31304.0;23856.0;14494.0;486793.0;52053.0;46847.0;27367.0;73375.0;67225.0;21913.0;92041.0;66932.0;52746.0;9652.0;0.0;78804.0;40512.0;8547.0;64614.0;53842.0;62.309;87238.0;77602.0;59148.0;78828.0;83352.0;24492.0;28035.0;25.55;25.55;30104.0;10242.0
Sergnano, IV Novembre,  10;18158.0;34766.0;16305.0;57294.0;6189.0;15005.0;9794.0;36048.0;2128.0;8.4;90971.0;39943.0;21823.0;44.96;73514.0;11073.0;8399.0;40371.0;49597.0;17749.0;18524.0;57153.0;57237.0;36756.0;84781.0;73515.0;14312.0;15057.0;87154.0;15537.0;23032.0;8837.0;67037.0;34793.0;11613.0;14142.0;54272.0;63897.0;79292.0;560041.0;35607.0;41497.0;103735.0;5811.0;17488.0;92359.0;20923.0;15716.0;29062.0;80098.0;79216.0;0.0;40921.0;78993.0;16985.0;29341.0;23.748;21212.0;8894.0;21811.0;14.25;14052.0;62218.0;49853.0;54405.0;54405.0;66745.0;80688.0
Sesto ed Uniti, Roma, 4;50.87;10174.0;38006.0;18733.0;40953.0;33963.0;40985.0;13037.0;39534.0;38.999;52.41;22905.0;19.91;9256.0;34953.0;30356.0;30737.0;4424.0;11036.0;45685.0;24115.0;18592.0;23072.0;5117.0;47731.0;34954.0;28002.0;26327.0;48593.0;42006.0;23909.0;32787.0;34132.0;10201.0;40927.0;46193.0;15711.0;27592.0;40731.0;523758.0;12721.0;45.19;65174.0;35266.0;29116.0;53798.0;53932.0;28823.0;14637.0;41537.0;40915.0;40695.0;0.09;40432.0;29262.0;15733.0;17.351;49129.0;39493.0;21039.0;40719.0;45243.0;23.4;11541.0;15587.0;15587.0;33583.0;41.87
Solarolo Rainerio, Giuseppina, 81;88764.0;48068.0;75.9;24062.0;78847.0;71857.0;84068.0;43154.0;77428.0;76.904;12436.0;75223.0;57804.0;36289.0;6272.0;68.25;68679.0;38427.0;28699.0;83579.0;62009.0;28711.0;28757.0;48211.0;9015.0;15809.0;65896.0;64221.0;8619.0;79.9;61803.0;70681.0;25.71;48095.0;78821.0;84087.0;31864.0;24416.0;7635.0;484626.0;51838.0;47407.0;25.2;73.16;67.01;12.58;91826.0;66717.0;52531.0;636.0;8642.0;78589.0;40297.0;0.0;64399.0;53627.0;47.743;87023.0;77387.0;58933.0;78613.0;88325.0;25052.0;30814.0;25335.0;25335.0;25418.0;909.0
Soncino, Dante Alighieri, 23;30495.0;19888.0;25833.0;42727.0;15365.0;22833.0;22131.0;21.17;15492.0;20.737;76404.0;40035.0;17878.0;30082.0;58947.0;16546.0;16702.0;28869.0;35775.0;30086.0;13062.0;42586.0;42359.0;24907.0;70214.0;58948.0;12583.0;16227.0;72587.0;29833.0;23835.0;12.29;48391.0;19915.0;23.95;26479.0;36484.0;49019.0;64725.0;554798.0;30423.0;25463.0;89168.0;13457.0;20665.0;77792.0;36343.0;7661.0;21345.0;65531.0;64649.0;16653.0;29419.0;64426.0;55.0;14463.0;37.189;33549.0;21231.0;12094.0;28546.0;26389.0;45614.0;36031.0;39838.0;39838.0;51867.0;66121.0
Soresina, Giacomo Matteotti, 6;39508.0;6.27;26644.0;32174.0;27857.0;22982.0;34623.0;10258.0;27984.0;33.229;65851.0;28679.0;8133.0;19.17;48394.0;18994.0;19375.0;15251.0;24477.0;34323.0;10335.0;32033.0;31447.0;11289.0;59661.0;48395.0;13848.0;14965.0;62034.0;30644.0;12928.0;17965.0;41247.0;6297.0;29565.0;34831.0;25572.0;38107.0;54172.0;537549.0;17386.0;31507.0;78615.0;25949.0;18135.0;67239.0;42.57;14669.0;8308.0;54978.0;54356.0;29145.0;15801.0;53873.0;14041.0;0.0;206.576;37767.0;33723.0;6585.0;29357.0;38881.0;34702.0;24733.0;29285.0;29285.0;40955.0;55568.0
Sospiro;72.081;31.385;59.19;7.379;62.164;55.174;62.035;26.471;60.745;29.33;58.54;41.121;19.606;11.873;51.567;51.948;12.016;12.016;66.896;45.326;10.233;17.203;31.528;24.651;20.224;49.213;47.538;25.513;63.217;45.12;53.998;19.402;31.412;62.138;67.404;14.832;12.862;26.001;0;38.754;41.859;42.161;56.477;50.327;30.718;74.972;50.034;35.848;18.457;17.835;61.906;23.134;17.352;47.717;36.944;205.675;70.995;60.704;42.25;61.93;66.454;13.498;14.101;8.652;19.11;19.047;214813.0;224955.0
Spino d'Adda, Circonvallazione, 13;10617.0;46701.0;14612.0;65.98;28.61;17834.0;22169.0;48192.0;23474.0;15.634;99657.0;32.1;30509.0;56503.0;82.2;19865.0;19471.0;49057.0;58283.0;9127.0;30855.0;65839.0;70319.0;45442.0;93467.0;82201.0;26394.0;23743.0;95.84;10.06;27569.0;26703.0;81379.0;46728.0;11.94;6155.0;62958.0;74839.0;87978.0;564118.0;42965.0;59122.0;112421.0;23436.0;22025.0;101045.0;8705.0;30.07;37748.0;88784.0;88162.0;22062.0;49607.0;87679.0;34.61;38315.0;60.772;187.0;13.93;34142.0;11476.0;16236.0;70904.0;58539.0;63091.0;63091.0;81087.0;89374.0
Trescore Cremasco, Vittorio Veneto, 1;8869.0;36478.0;9303.0;55757.0;15491.0;12536.0;9.05;40554.0;10355.0;2.515;89434.0;35628.0;20286.0;46.28;71977.0;8318.0;8916.0;38834.0;48.06;9666.0;23.03;55616.0;61743.0;35219.0;83244.0;71978.0;18818.0;13.52;85617.0;7454.0;18148.0;13343.0;68774.0;36505.0;3.53;6059.0;52735.0;64616.0;77755.0;555157.0;33544.0;46003.0;102198.0;10317.0;12604.0;90822.0;15923.0;20222.0;27525.0;78561.0;77939.0;8943.0;39384.0;77456.0;21491.0;33847.0;42.617;13129.0;0.0;26317.0;6167.0;8025.0;60681.0;48316.0;52868.0;52868.0;71251.0;79151.0
Trigolo, Roma, 26;35162.0;12876.0;22298.0;37602.0;21972.0;19298.0;27192.0;16319.0;20553.0;25.798;71279.0;31661.0;9.79;28125.0;53822.0;13491.0;13647.0;20679.0;29905.0;29977.0;4214.0;37461.0;37508.0;17064.0;65089.0;53823.0;7727.0;11371.0;67462.0;26298.0;15747.0;11844.0;44539.0;12903.0;25219.0;30485.0;34.58;46461.0;59.6;542977.0;20368.0;37148.0;84043.0;16285.0;17.13;72667.0;38224.0;8548.0;11.29;60406.0;59524.0;21714.0;21229.0;59301.0;12074.0;6987.0;63.144;33421.0;26292.0;82.0;25011.0;31.45;42526.0;30161.0;34713.0;34713.0;47016.0;60996.0
Vaiano Cremasco,  Gloriosi Caduti, 3;14029.0;38.85;2477.0;58129.0;22249.0;9983.0;15808.0;40341.0;17113.0;9.273;91806.0;31659.0;22658.0;48652.0;74349.0;12014.0;11.62;41206.0;50432.0;8844.0;23004.0;57988.0;62468.0;37591.0;85616.0;74.35;18543.0;15892.0;87989.0;1394.0;16004.0;18852.0;73528.0;38877.0;4078.0;7.23;55107.0;66988.0;80127.0;553013.0;31.4;54935.0;104.57;17075.0;14174.0;93194.0;17091.0;22219.0;29897.0;80933.0;80311.0;15701.0;41756.0;79828.0;29861.0;30464.0;66.817;12288.0;7569.0;26291.0;0.0;13548.0;63053.0;50823.0;55.24;55.24;73236.0;81523.0
Vailate, Dante Alighieri, 7;4.78;44.48;15061.0;61802.0;14832.0;18294.0;5052.0;45762.0;15397.0;7.633;95479.0;41603.0;26331.0;54674.0;78022.0;14363.0;14961.0;44879.0;54105.0;15641.0;28238.0;61661.0;66951.0;41264.0;89289.0;78023.0;24026.0;19565.0;91662.0;13212.0;24193.0;18551.0;99212.0;44507.0;9288.0;9767.0;58.78;97745.0;83.8;561202.0;39589.0;51211.0;108243.0;15525.0;18649.0;96867.0;9561.0;25.43;33.57;84606.0;83724.0;14151.0;45429.0;83501.0;26699.0;39055.0;13.347;15.96;7381.0;31525.0;11925.0;126.0;66726.0;54496.0;58913.0;58913.0;99859.0;85196.0
Vescovato, Roma, 44;71828.0;31132.0;58964.0;12392.0;61911.0;54921.0;67132.0;26218.0;60492.0;59.957;36952.0;57394.0;40868.0;19353.0;19495.0;51314.0;51743.0;21491.0;13374.0;66643.0;45073.0;6356.0;5614.0;31275.0;31275.0;13994.0;48.96;47285.0;33135.0;62964.0;44867.0;53745.0;10537.0;31159.0;61885.0;67151.0;9509.0;2.93;19771.0;526327.0;34902.0;25082.0;49716.0;56224.0;50074.0;37157.0;74.89;49781.0;35595.0;26079.0;25457.0;61653.0;23361.0;24974.0;47463.0;36691.0;12.572;70087.0;60451.0;41997.0;61677.0;71389.0;0.0;14881.0;12946.0;12946.0;10245.0;25486.0
Cremona, Felice Cavallotti, 2;61009.0;20313.0;48118.0;5655.0;51092.0;44102.0;56313.0;16839.0;49673.0;49.135;41.23;32.44;30049.0;9974.0;23773.0;40495.0;40924.0;10672.0;2436.0;55824.0;34254.0;9433.0;18229.0;20456.0;32674.0;25795.0;38141.0;36466.0;37412.0;52145.0;34048.0;42926.0;24973.0;20.34;51066.0;56332.0;10867.0;18433.0;31572.0;515089.0;22257.0;38055.0;53993.0;45405.0;39255.0;42618.0;64071.0;38962.0;24776.0;30357.0;27.11;50834.0;11332.0;29251.0;38084.0;25872.0;8.743;59268.0;49632.0;31178.0;50858.0;60.57;14498.0;23.0;4664.0;4664.0;24681.0;30947.0
Cremona, Palosca n. 2;64085.0;23389.0;51194.0;3728.0;54168.0;47178.0;54.2;18475.0;52749.0;52.214;37405.0;50544.0;33125.0;11.61;19948.0;43571.0;43952.0;13748.0;4.02;58.9;37.33;7981.0;14197.0;23532.0;31215.0;23.98;41217.0;39542.0;33588.0;55221.0;37124.0;46002.0;23521.0;23416.0;54142.0;57294.0;6836.0;16981.0;30.12;519477.0;28661.0;33863.0;50169.0;48481.0;42331.0;38793.0;67147.0;42038.0;27852.0;26532.0;25.65;53.91;15618.0;25427.0;39.72;28948.0;21.937;62344.0;52708.0;34254.0;53934.0;58458.0;12683.0;5491.0;0.0;0.0;23229.0;27122.0
Cremona, Sesto 39;50336.0;9.64;37445.0;16922.0;40419.0;33429.0;40451.0;13515.0;39.0;38.465;50599.0;29154.0;19376.0;7445.0;33142.0;29822.0;30203.0;0.0;9225.0;45151.0;23581.0;16781.0;21261.0;9783.0;45.92;33143.0;27468.0;25793.0;46782.0;41472.0;23375.0;32253.0;32321.0;9667.0;40393.0;43545.0;13.9;25781.0;38.92;522297.0;18931.0;43379.0;63363.0;34732.0;28582.0;51987.0;53398.0;28289.0;14103.0;39726.0;39104.0;40161.0;4.44;38621.0;28728.0;15199.0;200499.0;48595.0;38959.0;20505.0;40185.0;44709.0;21846.0;9616.0;14033.0;14033.0;32029.0;40316.0
