;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casaletto Vaprio, Maggiore, 7;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, LibertÃ¯Â¿Â½, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2.1;Ostiano;San Giovanni
Agnadello, Marconi, 6;0.0;48.0;16.0;67.0;20.0;19.0;9.0;50.0;21.0;0.0;0.0;36.0;32.0;58.0;83.0;21.0;21.0;0.0;59.0;10.0;32.0;67.0;71.0;47.0;0.0;83.0;28.0;25.0;97.0;11.0;11.0;23.0;0.0;48.0;11.0;5.0;64.0;76.0;89.0;568.0;44.0;55.0;114.0;20.0;23.0;102.0;7.0;31.0;39.0;90.0;89.0;18.0;0.0;89.0;31.0;39.0;61.0;10.0;11.0;35.0;13.0;5.0;72.0;60.0;64.0;64.0;108.0;108.0
Annicco, Giuseppe Garibaldi, 6;47.0;0.0;34.0;25.0;37.0;30.0;42.0;8.0;35.0;0.0;59.0;27.0;16.0;14.0;42.0;26.0;27.0;9.0;18.0;41.0;17.0;25.0;30.0;6.0;53.0;42.0;20.0;0.0;55.0;38.0;20.0;24.0;41.0;0.0;0.0;42.0;22.0;34.0;47.0;531.0;15.0;32.0;72.0;31.0;25.0;61.0;50.0;21.0;21.0;48.0;47.0;36.0;9.0;47.0;20.0;6.0;29.0;45.0;35.0;13.0;36.0;46.0;30.0;18.0;23.0;23.0;41.0;41.0
Bagnolo Cremasco, Roma, 3;15.0;35.0;0.0;54.0;23.0;0.0;17.0;36.0;22.0;0.0;88.0;30.0;19.0;0.0;70.0;8.0;10.0;37.0;0.0;10.0;0.0;54.0;58.0;34.0;82.0;70.0;15.0;12.0;84.0;4.0;4.0;15.0;69.0;35.0;5.0;8.0;51.0;63.0;76.0;551.0;30.0;51.0;101.0;17.0;0.0;0.0;18.0;18.0;18.0;77.0;76.0;17.0;38.0;76.0;26.0;0.0;52.0;13.0;9.0;22.0;3.0;15.0;59.0;47.0;51.0;51.0;69.0;69.0
Bonemerse, Roma, 25;67.0;0.0;54.0;0.0;57.0;50.0;57.0;21.0;0.0;0.0;36.0;53.0;36.0;15.0;19.0;47.0;47.0;17.0;0.0;62.0;40.0;10.0;15.0;27.0;27.0;24.0;44.0;43.0;32.0;58.0;40.0;48.0;23.0;26.0;57.0;60.0;10.0;16.0;0.0;522.0;34.0;36.0;49.0;51.0;45.0;37.0;70.0;45.0;31.0;25.0;25.0;57.0;19.0;24.0;43.0;32.0;7.0;65.0;56.0;37.0;57.0;61.0;12.0;7.0;4.0;4.0;23.0;26.0
Camisano, Trieste, 57;21.0;33.0;23.0;0.0;0.0;20.0;16.0;35.0;5.0;0.0;91.0;40.0;22.0;44.0;0.0;14.0;14.0;41.0;50.0;24.0;0.0;57.0;0.0;37.0;85.0;74.0;15.0;15.0;0.0;22.0;23.0;10.0;63.0;33.0;18.0;21.0;55.0;0.0;80.0;560.0;36.0;0.0;104.0;8.0;18.0;93.0;22.0;16.0;29.0;80.0;80.0;0.0;41.0;79.0;17.0;30.0;55.0;28.0;15.0;22.0;21.0;15.0;63.0;50.0;55.0;55.0;67.0;81.0
Capergnanica, XI febbraio, 7;20.0;31.0;6.0;50.0;20.0;0.0;15.0;33.0;18.0;0.0;84.0;27.0;15.0;41.0;66.0;6.0;5.0;33.0;43.0;14.0;16.0;50.0;55.0;30.0;78.0;66.0;11.0;9.0;80.0;0.0;10.0;12.0;65.0;31.0;10.0;13.0;47.0;59.0;72.0;547.0;26.0;48.0;97.0;14.0;5.0;85.0;23.0;15.0;22.0;73.0;72.0;15.0;34.0;72.0;23.0;23.0;49.0;18.0;13.0;19.0;9.0;0.0;55.0;43.0;47.0;47.0;65.0;74.0
Capralba, Piave, 2;9.0;40.0;16.0;63.0;16.0;15.0;0.0;0.0;11.0;0.0;96.0;38.0;27.0;0.0;79.0;0.0;12.0;46.0;55.0;18.0;24.0;63.0;63.0;42.0;90.0;79.0;20.0;20.0;93.0;16.0;21.0;14.0;70.0;40.0;0.0;14.0;60.0;69.0;85.0;1.0;41.0;47.0;109.0;11.0;15.0;98.0;13.0;21.0;34.0;86.0;85.0;10.0;46.0;84.0;22.0;35.0;59.0;21.0;9.0;27.0;14.0;5.0;68.0;55.0;60.0;60.0;72.0;86.0
Casalbuttano ed Uniti, Jacini, 23;51.0;9.0;41.0;0.0;35.0;38.0;42.0;0.0;36.0;0.0;55.0;36.0;19.0;9.0;0.0;32.0;32.0;13.0;15.0;48.0;21.0;21.0;23.0;15.0;49.0;38.0;24.0;25.0;0.0;45.0;23.0;27.0;30.0;9.0;44.0;47.0;15.0;29.0;44.0;534.0;24.0;23.0;68.0;33.0;29.0;57.0;56.0;22.0;19.0;44.0;44.0;37.0;14.0;43.0;22.0;11.0;26.0;52.0;41.0;17.0;43.0;46.0;26.0;15.0;19.0;19.0;32.0;45.0
Casale Cremasco-Vidolasco, Roma, 56;0.0;34.0;21.0;56.0;5.0;18.0;11.0;35.0;0.0;0.0;90.0;39.0;21.0;44.0;72.0;13.0;13.0;39.0;48.0;19.0;17.0;56.0;56.0;36.0;84.0;72.0;13.0;14.0;86.0;17.0;22.0;7.0;0.0;34.0;13.0;16.0;53.0;63.0;78.0;559.0;34.0;40.0;103.0;4.0;0.0;91.0;23.0;15.0;28.0;0.0;78.0;0.0;40.0;78.0;16.0;28.0;54.0;23.0;10.0;21.0;16.0;0.0;0.0;0.0;53.0;53.0;66.0;0.0
Casaletto Vaprio, Maggiore, 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Casalmaggiore, Guglielmo Marconi, 8;101.0;0.0;88.0;36.0;91.0;84.0;91.0;55.0;0.0;0.0;0.0;0.0;70.0;48.0;18.0;80.0;81.0;50.0;41.0;125.0;74.0;41.0;41.0;60.0;8.0;27.0;78.0;76.0;5.0;92.0;74.0;83.0;37.0;60.0;91.0;96.0;44.0;36.0;19.0;473.0;66.0;71.0;14.0;85.0;79.0;10.0;104.0;79.0;65.0;12.0;15.0;91.0;52.0;12.0;76.0;66.0;40.0;99.0;89.0;71.0;91.0;95.0;37.0;43.0;37.0;37.0;37.0;12.0
Casalpusterlengo, Pusterla 7;36.0;26.0;30.0;54.0;40.0;28.0;38.0;34.0;0.0;0.0;0.0;0.0;21.0;33.0;71.0;27.0;27.0;27.0;31.0;26.0;27.0;52.0;47.0;20.0;82.0;69.0;0.0;27.0;0.0;29.0;17.0;32.0;68.0;26.0;34.0;32.0;39.0;61.0;75.0;523.0;12.0;77.0;105.0;34.0;23.0;77.0;40.0;31.0;23.0;65.0;64.0;40.0;23.0;64.0;39.0;29.0;35.0;32.0;36.0;32.0;33.0;42.0;57.0;32.0;39.0;39.0;68.0;66.0
Castelleone, Roma, 67;32.0;17.0;19.0;36.0;22.0;15.0;22.0;19.0;20.0;0.0;70.0;21.0;0.0;27.0;53.0;0.0;12.0;19.0;29.0;27.0;6.0;36.0;41.0;16.0;64.0;53.0;10.0;7.0;66.0;0.0;5.0;14.0;52.0;17.0;22.0;25.0;33.0;45.0;58.0;541.0;15.0;43.0;83.0;0.0;0.0;0.0;35.0;0.0;8.0;59.0;59.0;22.0;20.0;58.0;18.0;8.0;19.0;30.0;20.0;10.0;22.0;26.0;41.0;29.0;33.0;33.0;51.0;60.0
Castelverde, Ubaldo Ferrari, 15;0.0;14.0;45.0;14.0;0.0;41.0;50.0;8.0;44.0;0.0;48.0;33.0;0.0;0.0;30.0;37.0;37.0;7.0;7.0;52.0;31.0;14.0;16.0;17.0;42.0;0.0;35.0;33.0;44.0;49.0;31.0;35.0;29.0;14.0;48.0;51.0;11.0;23.0;36.0;1.0;24.0;29.0;0.0;42.0;36.0;49.0;61.0;0.0;21.0;37.0;36.0;45.0;9.0;36.0;30.0;19.0;10.0;56.0;46.0;28.0;47.0;54.0;19.0;8.0;0.0;0.0;29.0;38.0
Cingia de' Botti, Giuseppina, 79;83.0;0.0;70.0;19.0;73.0;66.0;73.0;38.0;0.0;0.0;18.0;0.0;52.0;31.0;0.0;63.0;63.0;33.0;23.0;78.0;57.0;23.0;23.0;43.0;14.0;16.0;60.0;59.0;14.0;74.0;56.0;65.0;25.0;43.0;73.0;79.0;26.0;19.0;12.0;490.0;49.0;53.0;31.0;68.0;62.0;0.0;86.0;61.0;47.0;7.0;7.0;73.0;35.0;6.0;59.0;48.0;48.0;82.0;72.0;54.0;73.0;78.0;20.0;25.0;20.0;20.0;25.0;8.0
Crema, Civerchi, 9;21.0;27.0;8.0;47.0;0.0;6.0;11.0;32.0;13.0;0.0;80.0;27.0;11.0;37.0;63.0;0.0;1.0;30.0;39.0;16.0;10.0;47.0;51.0;26.0;74.0;63.0;6.0;4.0;77.0;12.0;10.0;0.0;62.0;0.0;11.0;14.0;0.0;56.0;0.0;547.0;25.0;42.0;93.0;6.0;0.0;82.0;24.0;9.0;0.0;69.0;69.0;8.0;30.0;68.0;17.0;19.0;48.0;19.0;0.0;13.0;11.0;16.0;52.0;39.0;44.0;44.0;62.0;70.0
Crema, Dante Alighieri, 49;0.0;28.0;7.0;47.0;16.0;5.0;12.0;0.0;15.0;0.0;81.0;26.0;12.0;38.0;63.0;1.0;0.0;30.0;39.0;15.0;12.0;47.0;51.0;27.0;75.0;63.0;0.0;5.0;77.0;11.0;9.0;6.0;63.0;28.0;10.0;14.0;44.0;56.0;69.0;547.0;25.0;44.0;94.0;7.0;4.0;82.0;23.0;11.0;19.0;0.0;69.0;8.0;31.0;69.0;19.0;19.0;16.0;19.0;0.0;15.0;10.0;16.0;0.0;0.0;44.0;44.0;62.0;0.0
Cremona, Sesto, 41;50.0;0.0;37.0;17.0;40.0;33.0;40.0;12.0;0.0;0.0;51.0;29.0;19.0;7.0;33.0;30.0;30.0;0.0;9.0;45.0;24.0;17.0;21.0;10.0;44.0;33.0;27.0;26.0;47.0;41.0;23.0;32.0;32.0;10.0;40.0;46.0;0.0;26.0;0.0;522.0;19.0;43.0;63.0;35.0;29.0;52.0;53.0;28.0;14.0;40.0;39.0;40.0;0.0;39.0;29.0;15.0;16.0;49.0;39.0;21.0;40.0;45.0;22.0;10.0;14.0;14.0;32.0;40.0
Cremona, Ugolani Dati, 4;0.0;19.0;46.0;7.0;49.0;42.0;50.0;14.0;48.0;0.0;41.0;31.0;0.0;8.0;24.0;39.0;39.0;9.0;0.0;54.0;33.0;9.0;14.0;19.0;35.0;25.0;37.0;35.0;37.0;51.0;32.0;41.0;24.0;19.0;49.0;55.0;6.0;18.0;31.0;521.0;22.0;35.0;54.0;44.0;38.0;0.0;62.0;37.0;23.0;30.0;30.0;49.0;11.0;29.0;36.0;24.0;58.0;58.0;48.0;30.0;49.0;54.0;14.0;0.0;4.0;4.0;24.0;31.0
Dovera, Oldrini 2;10.0;42.0;10.0;62.0;0.0;14.0;18.0;44.0;19.0;0.0;95.0;26.0;26.0;52.0;78.0;0.0;15.0;45.0;54.0;0.0;0.0;62.0;66.0;41.0;89.0;78.0;22.0;19.0;92.0;0.0;23.0;22.0;77.0;42.0;8.0;6.0;59.0;71.0;84.0;549.0;36.0;55.0;139.0;19.0;0.0;0.0;13.0;26.0;33.0;84.0;84.0;18.0;45.0;83.0;0.0;0.0;42.0;9.0;0.0;30.0;7.0;16.0;67.0;54.0;59.0;59.0;77.0;85.0
Fiesco, Giuseppe Parini, 10;32.0;0.0;19.0;41.0;19.0;16.0;24.0;20.0;17.0;0.0;75.0;28.0;5.0;32.0;58.0;10.0;10.0;24.0;34.0;27.0;0.0;41.0;41.0;21.0;69.0;58.0;4.0;8.0;71.0;23.0;11.0;9.0;48.0;17.0;22.0;27.0;38.0;50.0;63.0;548.0;20.0;38.0;88.0;13.0;0.0;76.0;35.0;5.0;0.0;0.0;63.0;18.0;25.0;63.0;0.0;11.0;12.0;30.0;23.0;4.0;22.0;0.0;0.0;0.0;38.0;38.0;0.0;0.0
Gadesco-Pieve Delmona, Giovanni Lonati 9;67.0;26.0;54.0;11.0;57.0;50.0;0.0;21.0;55.0;0.0;41.0;52.0;36.0;0.0;23.0;46.0;0.0;16.0;8.0;0.0;0.0;0.0;8.0;26.0;0.0;18.0;44.0;42.0;37.0;58.0;40.0;48.0;17.0;26.0;57.0;62.0;3.0;10.0;0.0;521.0;30.0;0.0;53.0;51.0;45.0;41.0;70.0;45.0;30.0;30.0;29.0;0.0;18.0;29.0;0.0;31.0;16.0;65.0;55.0;37.0;56.0;61.0;6.0;10.0;8.0;8.0;17.0;29.0
Grontardo, Roma, 16;71.0;31.0;58.0;18.0;0.0;54.0;63.0;22.0;56.0;0.0;41.0;60.0;40.0;16.0;23.0;51.0;51.0;21.0;13.0;66.0;41.0;9.0;0.0;0.0;34.0;18.0;0.0;0.0;37.0;62.0;44.0;48.0;10.0;31.0;0.0;67.0;8.0;5.0;23.0;530.0;34.0;24.0;0.0;54.0;50.0;41.0;74.0;0.0;0.0;30.0;29.0;57.0;23.0;29.0;42.0;32.0;27.0;70.0;62.0;38.0;61.0;67.0;4.0;16.0;15.0;15.0;0.0;0.0
Grumello Cremonese ed Uniti, Roma, 2;47.0;6.0;0.0;25.0;37.0;30.0;37.0;14.0;35.0;0.0;59.0;21.0;16.0;0.0;42.0;26.0;27.0;9.0;0.0;42.0;20.0;25.0;30.0;0.0;53.0;42.0;24.0;22.0;55.0;38.0;0.0;29.0;41.0;6.0;37.0;42.0;22.0;34.0;47.0;531.0;8.0;52.0;72.0;31.0;25.0;61.0;50.0;25.0;11.0;48.0;47.0;37.0;5.0;47.0;25.0;0.0;20.0;0.0;35.0;0.0;0.0;41.0;30.0;18.0;23.0;23.0;41.0;49.0
Gussola, Comaschi, 1;95.0;54.0;82.0;0.0;85.0;78.0;85.0;49.0;83.0;0.0;8.0;81.0;64.0;42.0;14.0;74.0;75.0;44.0;35.0;89.0;68.0;34.0;0.0;54.0;0.0;25.0;72.0;70.0;3.0;86.0;68.0;77.0;35.0;54.0;85.0;90.0;38.0;31.0;17.0;480.0;58.0;0.0;0.0;79.0;73.0;0.0;98.0;73.0;58.0;10.0;8.0;84.0;46.0;9.0;70.0;59.0;17.0;93.0;83.0;65.0;84.0;89.0;31.0;34.0;31.0;31.0;35.0;10.0
Isola Dovarese, Giacomo Matteotti, 1;83.0;42.0;70.0;27.0;73.0;66.0;73.0;37.0;72.0;0.0;26.0;68.0;52.0;30.0;16.0;62.0;63.0;33.0;24.0;78.0;56.0;0.0;17.0;42.0;25.0;0.0;60.0;58.0;22.0;74.0;56.0;65.0;13.0;42.0;73.0;78.0;21.0;13.0;9.0;498.0;46.0;35.0;39.0;67.0;61.0;26.0;86.0;61.0;47.0;15.0;18.0;73.0;34.0;15.0;59.0;48.0;45.0;81.0;72.0;53.0;73.0;77.0;14.0;28.0;0.0;0.0;12.0;14.0
Izano, Gerardo da Izano, 4/C;27.0;20.0;15.0;45.0;14.0;12.0;20.0;24.0;13.0;0.0;78.0;30.0;9.0;35.0;61.0;6.0;6.0;28.0;37.0;22.0;0.0;44.0;45.0;24.0;72.0;61.0;0.0;4.0;74.0;19.0;14.0;4.0;52.0;20.0;17.0;23.0;0.0;53.0;0.0;550.0;24.0;38.0;0.0;9.0;9.0;80.0;30.0;5.0;0.0;67.0;67.0;14.0;28.0;66.0;13.0;14.0;42.0;26.0;19.0;8.0;17.0;24.0;50.0;37.0;42.0;42.0;54.0;68.0
Madignano, Portici, 4;25.0;24.0;12.0;43.0;15.0;9.0;15.0;25.0;0.0;0.0;77.0;27.0;0.0;33.0;59.0;4.0;5.0;26.0;35.0;20.0;8.0;0.0;0.0;22.0;70.0;59.0;0.0;0.0;73.0;16.0;11.0;7.0;0.0;24.0;15.0;20.0;40.0;0.0;65.0;547.0;21.0;41.0;89.0;9.0;7.0;78.0;28.0;9.0;15.0;66.0;65.0;15.0;26.0;0.0;16.0;15.0;23.0;23.0;13.0;11.0;15.0;19.0;48.0;36.0;40.0;40.0;58.0;66.0
Martignana di Po, LibertÃ¯Â¿Â½, 64;97.0;56.0;84.0;32.0;87.0;80.0;87.0;52.0;86.0;0.0;6.0;84.0;66.0;45.0;15.0;0.0;77.0;47.0;37.0;92.0;70.0;37.0;37.0;57.0;0.0;23.0;74.0;73.0;0.0;0.0;70.0;79.0;33.0;57.0;87.0;93.0;40.0;33.0;15.0;478.0;60.0;67.0;18.0;0.0;0.0;12.0;100.0;75.0;61.0;8.0;10.0;87.0;49.0;9.0;73.0;62.0;54.0;95.0;86.0;67.0;87.0;92.0;33.0;36.0;34.0;34.0;33.0;8.0
Monte Cremasco, Roma, 12;11.0;39.0;4.0;58.0;22.0;10.0;0.0;40.0;17.0;0.0;92.0;29.0;0.0;48.0;74.0;12.0;11.0;41.0;50.0;5.0;23.0;0.0;0.0;37.0;85.0;74.0;18.0;16.0;88.0;0.0;0.0;19.0;73.0;39.0;0.0;6.0;55.0;0.0;80.0;561.0;35.0;55.0;104.0;17.0;14.0;93.0;14.0;22.0;30.0;81.0;80.0;16.0;42.0;0.0;30.0;30.0;40.0;9.0;7.0;26.0;1.0;0.0;63.0;51.0;55.0;55.0;73.0;81.0
